"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"PPP1R15A",0.0000000000000118986965463392,-2.94094778284452,0.067,0.197,0.000000000435504192292563,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"NR4A2",0.0000000000168570502602817,-2.8107819507816,0.042,0.14,0.000000616984896576571,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.0000000000000340421858712044,-2.76340151719284,0.159,0.303,0.00000000124597804507195,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"AREG",0.0000000000577423404215082,-2.49363174469353,0.055,0.157,0.00000211342740176762,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZBTB16",0.000000000000000393682163880113,-2.38786316256401,0.027,0.146,0.000000000014409160880176,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"GNG11",0.000000252634993646048,2.16146338383598,0.145,0.065,0.00924669340243902,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"CAVIN2",0.0000132288284578859,2.05343005237703,0.131,0.066,0.484188350387083,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"PPP1R15A",0.00000000130141733870595,2.04338579097536,0.197,0.095,0.0000476331760139764,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"RPS26",0.000000000000000000000000000000000000000000000000000000000000000000000000000000467661849994453,1.97688728354169,0.942,0.904,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,"CD4 T cells","Healthy_vs_AChR_MG","Upregulated"
"NR4A2",0.000000506228491794032,1.91789865389088,0.14,0.064,0.0185284690281534,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"DUSP1",0.000000000000667293884601323,-1.83760515590985,0.217,0.36,0.000000024423623470293,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"COQ7",0.00000784241187994991,-1.79218966250857,0.061,0.126,0.287040117218047,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"CISH",0.000000000462280506264054,-1.70213981829466,0.031,0.116,0.0000169199288097706,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"IER5",0.000000883524180705594,1.68870502362767,0.133,0.059,0.0323378685380054,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"IGKC",0.0000281027633767481,-1.66092480752575,0.063,0.126,1,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"RGS18",0.000219963460975684,1.52428331191339,0.118,0.063,1,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"FOSB",0.000000683861758530989,1.48121726023054,0.167,0.084,0.0250300242239927,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"JUN",0.00000392604712853986,1.47281588173151,0.303,0.214,0.143697250951687,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"IFI44L",0.0000000000000470999490961797,3.65366116105577,0.107,0.008,0.00000000172390523686927,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"GPR132",0.0000000202362852771574,-1.88294976716602,0.031,0.112,0.00074066827742924,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Downregulated"
"IGKC",0.000000000332808772919612,-1.78614858233868,0.067,0.162,0.0000121811338976307,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"HBA1",0.000000346740705935233,-1.78074146030801,0.052,0.121,0.0126910565779354,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZBTB16",0.0000000000353870017440077,-1.7388956088709,0.034,0.118,0.00000129519965083243,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"HBA2",0.000000000012129804955018,-1.51823257890834,0.148,0.28,0.000000443962991158612,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"SESN1",0.00000000552424608442033,-1.48882408612643,0.079,0.185,0.000202192930935869,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Downregulated"
"CISH",0.00000520119433095943,-1.4847878878894,0.045,0.102,0.190368913707446,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"AREG",0.000070536514157121,-1.44257524517495,0.048,0.105,1,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Downregulated"
"GBP5",0.00000361809255765454,1.43545310302297,0.113,0.046,0.132425805702714,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"MTRNR2L1",0.000000000000000199575817386201,-1.43498684373932,0.083,0.229,0.00000000000730467449215235,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"RPS26",0.00000000000000000000000000017036821222708,1.36598647394616,0.936,0.896,0.00000000000000000000000623564693572335,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"HBB",0.00000000000000000000000000000000000000000000225122601710323,-1.33474235422464,0.621,0.843,0.0000000000000000000000000000000000000000823971234519952,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"ARID5A",0.000000000122745357549575,-1.29863667799772,0.09,0.218,0.000004492602831672,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Downregulated"
"AC003102.1",0.0000376592742058439,1.2899654433562,0.105,0.048,1,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"S100B",0.00000000127174843123564,-1.27831503663412,0.138,0.251,0.0000465472643316557,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"MX1",0.00000175578179745763,1.21648227046717,0.153,0.074,0.0642633695687469,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"FBLN5",0.000000255249195192699,-1.19262655478167,0.076,0.156,0.00934237579324797,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"CCL5",0.00236703693847534,1.14090649882915,0.119,0.074,1,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"AHCTF1",0.00136186873376444,-1.10374583617517,0.061,0.109,1,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Downregulated"
"IGHA1",0.000000000138599913037277,-5.38094886625987,0.041,0.132,0.00000507289541707737,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGLC2",0.677104448790845,4.82465494557083,0.097,0.106,1,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"IGLC2",0.243314637854642,4.19189844710776,0.097,0.116,1,"Dendritic cells","Healthy_vs_AChR_MG","Upregulated"
"ZBTB16",0.00000000000000000000000000181303488178936,-3.47737912862193,0.027,0.202,0.0000000000000000000000663588897083723,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGHA1",0.106589502223198,3.36135251581489,0.132,0.103,1,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"IFI44L",0.00000000000000000000000000000000175502289162539,3.20886747633893,0.331,0.073,0.000000000000000000000000000064235592856381,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"ATF3",0.000000000000000594783525665493,3.15158932681253,0.221,0.07,0.0000000000217696718228827,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"SRGAP1",0.0000000000000000000000000000000419205705952142,-2.90713991010412,0.03,0.233,0.00000000000000000000000000153433480435543,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.000000000119365040385078,-2.89468388067559,0.247,0.363,0.00000436887984313423,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ID1",0.0000000000171717954605061,-2.80913345254872,0.044,0.143,0.000000628504885649984,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ELL2",0.000000000823627875728211,-2.58581261673419,0.03,0.109,0.0000301456038795283,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"RGS1",0.0000000000000273834717008699,-2.55088061619002,0.252,0.403,0.00000000100226244772354,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
