"CellType","Total_DEGs"
"Progenitors",15157
"Monocytes",6631
"Dendritic cells",5965
"B cells",5040
"T cells",4520
"NK cells",4338
"CD8 T cells",3868
"Basophils",3861
"CD4 T cells",3806
"Neutrophils",3369
