"Gene","CellTypes","Comparisons","Occurrences","Mean_Log2FC","Mean_Abs_Log2FC","MinPadj",".Direction"
"IL18BP",1,1,1,0.28464315093883,0.28464315093883,1,"drop"
"FUZ",1,1,1,-0.284307424287227,0.284307424287227,1,"drop"
"TTI2",1,1,1,0.284279154007559,0.284279154007559,1,"drop"
"TFPI",1,1,1,-0.283840138130035,0.283840138130035,1,"drop"
"SYCP2L",1,1,1,-0.283818379701458,0.283818379701458,1,"drop"
"SETD7",1,1,1,0.283770331258105,0.283770331258105,1,"drop"
"EEF1G",1,1,1,0.283708651833922,0.283708651833922,1,"drop"
"PNMA1",1,1,1,0.283367307953412,0.283367307953412,1,"drop"
"SCN9A",1,1,1,-0.283060220216593,0.283060220216593,1,"drop"
"ZNF555",1,1,1,0.282461818293319,0.282461818293319,1,"drop"
"PIGG",1,1,1,0.281461575430361,0.281461575430361,1,"drop"
"CENPH",1,1,1,0.280546961564443,0.280546961564443,1,"drop"
"PPRC1",1,1,1,-0.280046178408242,0.280046178408242,1,"drop"
"KLF5",1,1,1,-0.280039282935054,0.280039282935054,1,"drop"
"PHEX",1,1,1,0.279415494596319,0.279415494596319,1,"drop"
"RAB34",1,1,1,0.279393487235739,0.279393487235739,1,"drop"
"LOX",1,1,1,0.278532616730718,0.278532616730718,1,"drop"
"NT5DC2",1,1,1,-0.278141316983384,0.278141316983384,1,"drop"
"ZNF662",1,1,1,-0.277572586552243,0.277572586552243,1,"drop"
"OBSL1",1,1,1,-0.277188180438625,0.277188180438625,1,"drop"
"HMGN3",1,1,1,-0.276857166988987,0.276857166988987,1,"drop"
"TRAF3IP2",1,1,1,-0.276624507227856,0.276624507227856,1,"drop"
"METTL9",1,1,1,-0.276436481887611,0.276436481887611,1,"drop"
"NEK4",1,1,1,-0.276235598529765,0.276235598529765,1,"drop"
"SLC4A10",1,1,1,-0.27595620829697,0.27595620829697,1,"drop"
"ZNF219",1,1,1,0.275300277420456,0.275300277420456,1,"drop"
"LRRC59",1,1,1,-0.275248339361605,0.275248339361605,1,"drop"
"FN3KRP",1,1,1,-0.274947349086923,0.274947349086923,1,"drop"
"LRRC27",1,1,1,0.274857708124802,0.274857708124802,1,"drop"
"C11orf71",1,1,1,-0.274718471624724,0.274718471624724,1,"drop"
"ARAF",1,1,1,-0.274696980141183,0.274696980141183,1,"drop"
"ISOC1",1,1,1,-0.274644539671484,0.274644539671484,1,"drop"
"CDC23",1,1,1,0.274586369390371,0.274586369390371,1,"drop"
"SRSF3",1,1,1,0.274446710926752,0.274446710926752,1,"drop"
"AC015982.2",1,1,1,-0.274118010648379,0.274118010648379,1,"drop"
"EXT2",1,1,1,-0.274026248198446,0.274026248198446,1,"drop"
"LINC01480",1,1,1,-0.273937758996716,0.273937758996716,1,"drop"
"UTF1",1,1,1,-0.27291934375204,0.27291934375204,1,"drop"
"ADPRH",1,1,1,-0.272094356886028,0.272094356886028,1,"drop"
"EDF1",1,1,1,-0.271449413749004,0.271449413749004,1,"drop"
"NMUR1",1,1,1,-0.271296619855145,0.271296619855145,1,"drop"
"MT-CO2",1,1,1,-0.270807248213839,0.270807248213839,0.0026264832373174,"drop"
"GNGT2",1,1,1,-0.270503420061313,0.270503420061313,1,"drop"
"PTMA",1,1,1,0.270381423717006,0.270381423717006,0.00000000000291115332153677,"drop"
"TMEM170B",1,1,1,-0.270253577183453,0.270253577183453,1,"drop"
"MCCC1",1,1,1,-0.269499818329904,0.269499818329904,1,"drop"
"RNF144A",1,1,1,0.269131412379931,0.269131412379931,1,"drop"
