"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",1.8947027822503e-35,0.999501534824998,0.942,0.893,6.93480165331432e-31
"TXNIP",2.81747280362206e-32,-0.573926435168723,0.999,0.997,1.03122322085371e-27
"FOSB",8.46506960044806e-26,-5.17225205991058,0.012,0.167,3.09830012445999e-21
"FKBP5",1.23368003733504e-24,-1.15824964868923,0.303,0.548,4.51539230464999e-20
"TSC22D3",8.67733213729344e-24,-0.875107628505609,0.802,0.875,3.17599033557077e-19
"LTB",1.50914875994387e-23,0.529335481317588,0.989,0.958,5.52363537627056e-19
"BTG1",2.96769921732809e-21,-0.449864606244336,0.98,0.993,1.08620759053425e-16
"MT-CO1",2.62158759685718e-19,-0.301532579347436,0.991,1,9.59527276325695e-15
"FOS",2.99351626975664e-19,-3.12854717833595,0.092,0.26,1.09565688989363e-14
"ZBTB16",3.93682163880113e-16,-2.38786316256401,0.027,0.146,1.4409160880176e-11
"MT-ND3",6.77832073699134e-16,0.293782586216171,0.987,0.999,2.4809331729462e-11
"TNFAIP3",2.95608259481879e-15,-1.20303518846202,0.505,0.621,1.08195579052963e-10
"ZFP36L2",6.04782503367118e-15,-0.45142649466636,0.941,0.965,2.21356444057399e-10
"PPP1R15A",1.18986965463392e-14,-2.94094778284452,0.067,0.197,4.35504192292563e-10
"CXCR4",3.03205539351586e-14,-0.621228393218371,0.786,0.861,1.10976259458074e-09
"JUN",3.40421858712044e-14,-2.76340151719284,0.159,0.303,1.24597804507195e-09
"DDIT4",5.42290839266749e-14,-1.089767128913,0.343,0.504,1.98483870080023e-09
"SRSF5",5.81689462732772e-14,-0.397845587502816,0.884,0.935,2.12904160254822e-09
"IL7R",1.75344179587797e-13,-0.466332862075122,0.907,0.935,6.41777231709295e-09
"DUSP1",6.67293884601323e-13,-1.83760515590985,0.217,0.36,2.4423623470293e-08
"HBB",7.88374349672913e-13,-0.769454863674502,0.52,0.618,2.88552895723783e-08
"PPBP",9.31625116703467e-12,0.660981103105552,0.346,0.19,3.40984108964636e-07
"NR4A2",1.68570502602817e-11,-2.8107819507816,0.042,0.14,6.16984896576571e-07
"CD69",5.62961740153336e-11,-0.752508955366433,0.433,0.57,2.06049626513523e-06
"AREG",5.77423404215082e-11,-2.49363174469353,0.055,0.157,2.11342740176762e-06
"NRGN",3.79168745303218e-09,1.30357903080196,0.198,0.09,0.000138779552468431
"NDFIP1",7.10536226357828e-09,-0.557614490027871,0.557,0.657,0.000260063364209228
"SMDT1",8.10759649858937e-09,0.308467791367997,0.813,0.685,0.000296746139444869
"TAGAP",1.73391782331134e-08,-0.776857101037735,0.237,0.371,0.000634631262510183
"CELF2",3.24445508964956e-08,-0.610500589009048,0.528,0.639,0.00118750300736263
"IFITM1",4.84738756818071e-08,0.615835988269576,0.482,0.35,0.00177419232382982
"CCNL1",5.8558743282469e-08,-0.849842355888281,0.432,0.551,0.00214330856288165
"FBXO32",8.49372057964668e-08,-1.0110834138113,0.129,0.235,0.00310878666935648
"KLF9",8.56635696366044e-08,-0.867401633965877,0.201,0.316,0.00313537231226936
"FBLN5",9.61879243826036e-08,-1.33723391765448,0.066,0.15,0.00352057422032767
"TNFSF8",1.19188662451233e-07,-1.01462215427214,0.129,0.235,0.00436242423437758
"YPEL5",1.50841379989691e-07,-1.24543555942566,0.281,0.376,0.00552094534900267
"SMAP2",1.87584339447204e-07,-0.457418966165494,0.56,0.657,0.00686577440810711
"GNG11",2.52634993646048e-07,2.16146338383598,0.145,0.065,0.00924669340243902
"GP1BB",3.30780421766082e-07,0.888009422287664,0.156,0.072,0.0121068942170604
"PF4",5.96229140325985e-07,1.04970325214485,0.222,0.128,0.0218225827650714
"IL6ST",6.07551666009605e-07,-0.606708276935029,0.371,0.483,0.0222369985276176
"IPCEF1",6.52510681500211e-07,-0.719612933817494,0.237,0.35,0.0238825434535892
"CDKN2D",7.97497312738454e-07,0.608686584559677,0.416,0.287,0.0291891991435402
"PTGER4",1.30830850848747e-06,-1.24214572693917,0.135,0.225,0.0478853997191499
"MYADM",1.3671122919183e-06,-0.937430268012661,0.118,0.211,0.0500376769965016
"MTRNR2L12",1.913716263922e-06,0.272203423957215,0.93,0.935,0.070043928975809
"ARL4A",2.32713685577686e-06,-1.19042152322257,0.09,0.171,0.0851755360582888
"KLF6",2.6536496290629e-06,-1.07320888978415,0.341,0.433,0.0971262300733312
"IFITM2",2.86181691097644e-06,0.339303152777197,0.756,0.664,0.104745360758649
"HBA2",2.93647345653542e-06,-0.390741193029437,0.121,0.209,0.107477864982653
"CD55",3.55440104087211e-06,-0.744577523867526,0.277,0.378,0.13009463249696
"SRSF2",4.62618440303657e-06,-0.518663880939632,0.432,0.527,0.169322975335541
"CD28",5.71618741028681e-06,0.742891946388396,0.285,0.184,0.209218175403907
"COQ7",7.84241187994991e-06,-1.79218966250857,0.061,0.126,0.287040117218047
"ETS1",7.93790971423307e-06,-0.273217821578001,0.868,0.897,0.290535433450645
"BCL2",8.13799962425184e-06,-0.456039517642669,0.429,0.528,0.297858924247242
"EBPL",9.72927977856889e-06,0.576067896064913,0.334,0.229,0.3561013691754
"LIMD2",9.81216367771849e-06,0.295515838030623,0.79,0.728,0.359135002768174
"KCNQ1OT1",1.03806060470453e-05,-1.35612254765691,0.062,0.129,0.379940561927906
"CAVIN2",1.32288284578859e-05,2.05343005237703,0.131,0.066,0.484188350387083
"IFRD1",1.40594703435561e-05,-1.19202320775699,0.094,0.167,0.514590674044497
"ANXA1",2.11702529021025e-05,-0.335026724600325,0.507,0.619,0.774852426469854
"DUSP2",2.25538107574323e-05,-0.909069466691725,0.164,0.246,0.82549202753278
"HIST1H2AC",2.43126821385666e-05,0.958854461641437,0.17,0.096,0.889868478953676
"ZFP36",2.63898040204758e-05,-1.17344516291176,0.295,0.378,0.965893216953435
"IGKC",2.81027633767481e-05,-1.66092480752575,0.063,0.126,1
"RBMS1",3.06181393310414e-05,-0.561275946399491,0.323,0.42,1
"SESN1",3.93716094335432e-05,-1.14233303281861,0.082,0.149,1
"CMTM8",4.66387477436899e-05,0.951283005256853,0.127,0.065,1
"ISG20",4.83958458606601e-05,-0.330941896555849,0.611,0.691,1
"RGCC",5.09172886191276e-05,-0.719512833965025,0.249,0.337,1
"SNX9",5.1813177339125e-05,-0.804067354788442,0.124,0.201,1
"EIF5A",6.39269333421383e-05,0.349703170811547,0.581,0.473,1
"GIMAP7",6.61972718863756e-05,0.264657514451562,0.82,0.732,1
"TXK",9.08128717019134e-05,-0.439777433670705,0.415,0.507,1
"SATB1",0.000104917195356986,-0.445953712335107,0.458,0.549,1
"CYCS",0.00013842496620097,-0.540405249901482,0.262,0.351,1
"SELL",0.000147882440485045,0.307597944420921,0.651,0.566,1
"MRPL2",0.000170812476123851,0.906532989285815,0.135,0.074,1
"CCL5",0.00019481460046337,0.647741553206547,0.203,0.132,1
"SOCS1",0.000202051335294984,-0.825794353517724,0.097,0.163,1
"CRYBG1",0.00020732890126563,-0.644185687616165,0.176,0.254,1
"KDM6B",0.000208335554323525,-1.11384589741848,0.078,0.136,1
"EIF4B",0.00021377937625916,-0.258897720884718,0.781,0.796,1
"RCSD1",0.000215068660585001,-0.437560934262298,0.382,0.458,1
"BIRC3",0.000218870794951424,0.263612866146156,0.521,0.433,1
"RGS18",0.000219963460975684,1.52428331191339,0.118,0.063,1
"SOCS3",0.000222328084243885,0.627002939712101,0.296,0.216,1
"YME1L1",0.00026193450733611,-0.683358799667125,0.312,0.389,1
"CCND3",0.000266684437604083,-0.288398885345654,0.545,0.626,1
"RNASEK",0.000271396807551528,0.27685864620648,0.704,0.603,1
"DNPH1",0.000307128757632855,0.72746015294439,0.203,0.135,1
"ID2",0.000307980138288819,-0.639899944207913,0.253,0.33,1
"ZFAND5",0.000324065210954387,-0.854008622596694,0.147,0.215,1
"EID1",0.000330521931374344,0.313087684424067,0.641,0.555,1
"HMGN2",0.000352145007249445,0.261480982255553,0.769,0.702,1
"S1PR1",0.000357577321685755,0.516536352422674,0.35,0.265,1
"PRKCQ-AS1",0.000387258633299703,-0.318854007286456,0.724,0.781,1
"LINC-PINT",0.000393085458211836,-0.627183368220452,0.349,0.423,1
"AL499604.1",0.000409982871132012,-0.811872515013112,0.246,0.323,1
"TLN1",0.000414717635104826,0.370517216546461,0.445,0.36,1
"CXorf38",0.000432902979181476,-0.83966126429931,0.112,0.174,1
"ETFB",0.000434241530082323,0.411628748943749,0.363,0.271,1
"EML4",0.00043502582361171,0.439942306078262,0.349,0.263,1
"DNAJA2",0.000467995540599197,-0.398560400838011,0.249,0.331,1
"IER5",0.00047564052122156,-1.32617745122965,0.078,0.133,1
"PPDPF",0.000476172830397654,0.354490266295924,0.651,0.58,1
"RBMX",0.000537297966657445,-0.302012749627453,0.443,0.528,1
"WAKMAR2",0.000549638181716684,-0.835859336093761,0.085,0.14,1
"TSPYL2",0.000566074568770688,-0.930612907589248,0.106,0.167,1
"DNAJA1",0.000597551858477299,-0.739042792010949,0.206,0.275,1
"FAM89B",0.000686796121170136,0.549982986715715,0.271,0.201,1
"CEMIP2",0.00069785702746918,-0.649807411154984,0.231,0.312,1
"INPP4B",0.000740359343792453,-0.395392283959539,0.308,0.385,1
"MHENCR",0.00076632485709358,0.365237222730394,0.432,0.353,1
"TIPARP",0.000774090096752347,-0.799920828945472,0.081,0.135,1
"PPP1R2",0.000799889373953629,-0.29115546406518,0.585,0.664,1
"CORO1B",0.000823247667716703,0.439925523640632,0.369,0.288,1
"MARCH2",0.000832806631231351,0.833864112993283,0.136,0.081,1
"MT1X",0.000840303774451398,0.453803791414921,0.331,0.249,1
"C12orf76",0.000899432642334109,-0.927134800988894,0.087,0.14,1
"H2AFJ",0.000919921407103422,0.609575389502956,0.262,0.194,1
"MAP3K7CL",0.000942017921295161,1.16336781874322,0.116,0.067,1
"CD74",0.000968143635665051,0.415861393281371,0.363,0.282,1
"PTGER2",0.0010064949897796,-0.82320643898018,0.092,0.146,1
"ZBTB24",0.00108927331047445,0.680423622857148,0.157,0.1,1
"MX2",0.00119940993171077,0.741216173926778,0.159,0.103,1
"GPX4",0.00124789793312769,0.325993729853329,0.686,0.624,1
"RBM22",0.00133588948656285,-0.652846523305642,0.114,0.173,1
"DDX3X",0.00138114348654304,-0.509780203950454,0.467,0.525,1
"EIF2AK2",0.00143821424968674,0.456690682756372,0.222,0.154,1
"PLK3",0.00144519159907537,-0.656918828524954,0.078,0.131,1
"TOB1",0.00146761018979927,-0.482910487993416,0.394,0.452,1
"AC004687.1",0.00151958566810175,0.593763650170535,0.206,0.142,1
"TMEM35B",0.00151969216526336,-0.671037380292493,0.108,0.164,1
"EPC1",0.00153440052264896,-0.308632503086607,0.507,0.563,1
"SLA",0.0015655459734111,-0.666579875518368,0.171,0.237,1
"ANP32E",0.00160446083413112,0.485919912840468,0.388,0.323,1
"DNAJC8",0.00162614907290086,0.314803306381266,0.494,0.424,1
"WDR74",0.00165092662558334,-0.625011171723006,0.141,0.202,1
"IL2RG",0.00166881623875185,0.29705255699198,0.639,0.573,1
"CFAP36",0.00173011355200831,0.482957952272472,0.233,0.169,1
"HELZ",0.00177496700435451,0.637551140037189,0.202,0.143,1
"ZNF101",0.00184250596309666,0.351718020342214,0.347,0.268,1
"NFKB1",0.00189580386705874,-0.497176149133742,0.222,0.292,1
