"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"PHLDA2",1,1,1.75822219594521,1.75822219594521,1.75822219594521,1.75822219594521,0.00878037036987565,0.00878037036987565,"Cell-type-specific"
"CISH",1,1,-1.70213981829466,-1.70213981829466,1.70213981829466,1.70213981829466,0.0000169199288097706,0.0000169199288097706,"Cell-type-specific"
"IER5",1,1,1.68870502362767,1.68870502362767,1.68870502362767,1.68870502362767,0.0323378685380054,0.0323378685380054,"Cell-type-specific"
"RNF213",1,1,1.67434779846466,1.67434779846466,1.67434779846466,1.67434779846466,0.00000000000000561683958438362,0.00000000000000561683958438362,"Cell-type-specific"
"IGHG1",1,1,1.67276897686824,1.67276897686824,1.67276897686824,1.67276897686824,0.00000153561939159436,0.00000153561939159436,"Cell-type-specific"
"GRASP",1,1,1.67027316742188,1.67027316742188,1.67027316742188,1.67027316742188,0.0000000062083727889872,0.0000000062083727889872,"Cell-type-specific"
"DUSP2",1,1,-1.65216919533459,-1.65216919533459,1.65216919533459,1.65216919533459,0.0000195119854152669,0.0000195119854152669,"Cell-type-specific"
"PTS",1,1,1.6516889957365,1.6516889957365,1.6516889957365,1.6516889957365,0.0179218312788302,0.0179218312788302,"Cell-type-specific"
"AP001189.1",1,1,1.60457315216437,1.60457315216437,1.60457315216437,1.60457315216437,0.000000121947084806917,0.000000121947084806917,"Cell-type-specific"
"FURIN",1,1,1.59934414774354,1.59934414774354,1.59934414774354,1.59934414774354,0.019170478342313,0.019170478342313,"Cell-type-specific"
"CLEC5A",1,1,-1.57704525916933,-1.57704525916933,1.57704525916933,1.57704525916933,0.0449712015629835,0.0449712015629835,"Cell-type-specific"
"NSMAF",1,1,-1.57135905882126,-1.57135905882126,1.57135905882126,1.57135905882126,0.000203321171229803,0.000203321171229803,"Cell-type-specific"
"NUB1",1,1,1.56322958882429,1.56322958882429,1.56322958882429,1.56322958882429,0.0338207289401082,0.0338207289401082,"Cell-type-specific"
"LINC01781",1,1,-1.55710816080103,-1.55710816080103,1.55710816080103,1.55710816080103,0.000000000000000000192556607000585,0.000000000000000000192556607000585,"Cell-type-specific"
"CREM",1,3,0.562450951861173,1.49660498794677,1.54385456650968,1.66285328960951,0.000000000000367856698713274,0.00000000000652699500218439,"Cell-type-specific"
"ZC3HAV1",1,2,1.53879220648998,1.53879220648998,1.53879220648998,1.58378675169286,0.0000000935564782424054,0.0121825513231234,"Cell-type-specific"
"EGR1",1,1,1.53645335310307,1.53645335310307,1.53645335310307,1.53645335310307,0.0160778640317108,0.0160778640317108,"Cell-type-specific"
"PRKDC",1,1,-1.52825722943804,-1.52825722943804,1.52825722943804,1.52825722943804,0.0000000000000446706516146907,0.0000000000000446706516146907,"Cell-type-specific"
