"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category","Safe_Min_P","Significance_Strength","Signature_Score"
"FKBP5",9,3,-1.06888538208317,-1.14727170564424,1.41180761020086,2.57260902236547,0.00000000000000000000000000000000000000000000000000000000634309470103281,0.000000000000000347159633244036,"Highly recurrent (5+)",0.00000000000000000000000000000000000000000000000000000000634309470103281,56.1976988046314,2142.18914890017
"AREG",6,3,-0.450730963444486,-1.1576024037452,1.6873349387723,2.49363174469353,0.0000000000000000000000000000000000000000000000217111239465205,0.0000000000843301430394902,"Highly recurrent (5+)",0.0000000000000000000000000000000000000000000000217111239465205,46.6633176933057,1417.25963345304
"RPS26",8,2,1.15121263543726,1.21430680281263,1.15121263543726,1.97688728354169,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,0.000000000000000000000000000000693480165331432,"Highly recurrent (5+)",0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,73.7665751054723,1358.73621334962
"FOSB",5,2,-1.58482070723661,-2.6440911502486,3.29475526734159,6.14574021499246,0.0000000000000000000000000000000000000385001737996695,0.00000436887984313423,"Highly recurrent (5+)",0.0000000000000000000000000000000000000385001737996695,37.4145373099703,1232.71743877173
"IFI44L",6,2,3.48756940321037,2.7986093512884,3.48756940321037,7.33662356113122,0.000000000000000000000000000064235592856381,0.000000000861952618437103,"Highly recurrent (5+)",0.000000000000000000000000000064235592856381,28.1922242632433,1179.86806498719
"ZBTB16",7,2,-2.11699661202973,-2.10131732494514,2.11699661202973,3.47737912862193,0.00000000000000000000000000000000000019020362682923,0.000000647607029996655,"Highly recurrent (5+)",0.00000000000000000000000000000000000019020362682923,36.720781206132,1088.32877166253
"MX1",4,2,2.53331894165051,1.6591885896109,2.53331894165051,4.2009564229098,0.000000000000000000000000000285619423578037,0.0000000000000105800734348451,"Moderately recurrent (3-4)",0.000000000000000000000000000285619423578037,27.544212261651,558.226197242262
"TXNIP",7,2,-0.292448914571805,-0.573926435168723,0.675052264597908,0.929230491475598,0.00000000000000000000000000000000000000000000000000000000235144044391956,0.0000000000000000000242915007652317,"Highly recurrent (5+)",0.00000000000000000000000000000000000000000000000000000000235144044391956,56.628666016367,535.1823292971
"IL1R2",3,2,-1.89924837368473,-1.40412089872301,1.89924837368473,3.65824062453353,0.0000000000000000000000000000000000000000498388802803064,0.0000000299750623571494,"Moderately recurrent (3-4)",0.0000000000000000000000000000000000000000498388802803064,40.3024317234425,459.26596743773
"FOS",4,2,-1.58876408259777,-3.12854717833595,2.77736596126263,4.62464417948302,0.0000000000000000000343682410411232,0.00000000227010481335971,"Moderately recurrent (3-4)",0.0000000000000000000343682410411232,19.4638426943883,432.465713398115
"TSC22D3",5,2,-0.925894389293677,-0.875107628505609,0.925894389293677,1.33383760705493,0.00000000000000000000000000000000000000000000300443245809301,0.000000000000000000317599033557077,"Highly recurrent (5+)",0.00000000000000000000000000000000000000000000300443245809301,44.5222375548084,412.228899507973
"ZFP36L2",5,3,-0.526926055617611,-0.754274800364457,0.841697170810245,0.954749327009958,0.000000000000000000000000000000122634559006896,0.0000000000000000459250036980917,"Highly recurrent (5+)",0.000000000000000000000000000000122634559006896,30.9113871263019,390.270406350428
"AC020916.1",3,2,-0.752750360657232,-2.37238855794672,3.28096158319139,4.47520893024785,0.000000000000000000584773872744152,0.000000000024433958197615,"Moderately recurrent (3-4)",0.000000000000000000584773872744152,18.2330120395668,358.930872286109
"XAF1",4,2,1.99622511166035,1.40094921169982,1.99622511166035,4.29217093406629,0.00000000000000000000011332691431723,0.00000000231868730016006,"Moderately recurrent (3-4)",0.00000000000000000000011332691431723,21.9456669361088,350.467931439957
"MTRNR2L1",7,3,-1.37176346748005,-1.29279605522223,1.37176346748005,2.462117920412,0.00000000000730467449215235,0.0000458299405591312,"Highly recurrent (5+)",0.00000000000730467449215235,11.1363991321474,320.806615263884
"ISG15",4,2,1.85703965302067,1.21406040391829,1.85703965302067,4.35607483393896,0.000000000000000000000647096823040219,0.000000165511590290237,"Moderately recurrent (3-4)",0.000000000000000000000647096823040219,21.1890307323668,314.790962232629
"HBB",7,1,-0.587286599873103,-0.78190222230122,1.01780158968297,1.50680246433454,0.0000000000000000000000000000000000000000823971234519952,0.0000000000522884775589849,"Highly recurrent (5+)",0.0000000000000000000000000000000000000000823971234519952,40.0840879495982,285.583539052651
