"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category","Safe_Min_P","Significance_Strength","Signature_Score"
"DDX6",1,1,0.520667537048289,0.520667537048289,0.520667537048289,0.520667537048289,0.0000182861518319783,0.0000182861518319783,"Cell-type-specific",0.0000182861518319783,4.73787767855715,2.46685910173042
"HERPUD1",1,1,-0.67227714500736,-0.67227714500736,0.67227714500736,0.67227714500736,0.00021445854614257,0.00021445854614257,"Cell-type-specific",0.00021445854614257,3.66865664250671,2.4663540136367
"RESF1",1,1,-0.597048001003007,-0.597048001003007,0.597048001003007,0.597048001003007,0.0000741235178696621,0.0000741235178696621,"Cell-type-specific",0.0000741235178696621,4.13004397743831,2.46583450078405
"RILPL2",1,1,-0.71491183797178,-0.71491183797178,0.71491183797178,0.71491183797178,0.000368363744504637,0.000368363744504637,"Cell-type-specific",0.000368363744504637,3.43372312097359,2.45480930750143
"MIR181A1HG",1,1,-0.67884559808424,-0.67884559808424,0.67884559808424,0.67884559808424,0.00024216361064918,0.00024216361064918,"Cell-type-specific",0.00024216361064918,3.61589111669088,2.45463176771751
"VASP",1,1,-0.644545579858408,-0.644545579858408,0.644545579858408,0.644545579858408,0.000159870080236224,0.000159870080236224,"Cell-type-specific",0.000159870080236224,3.79623280707395,2.44684507591299
"CDC37L1",2,1,-0.786035291056576,-0.786035291056576,0.786035291056576,0.803677936557058,0.028904672281999,0.0353835551961659,"Shared across 2 cell types",0.028904672281999,1.53903195024411,2.419466853911
"TNFSF8",1,1,-1.01462215427214,-1.01462215427214,1.01462215427214,1.01462215427214,0.00436242423437758,0.00436242423437758,"Cell-type-specific",0.00436242423437758,2.36027210269809,2.39478436550797
"RGS18",1,1,1.37283458389861,1.37283458389861,1.37283458389861,1.37283458389861,0.0184019672722106,0.0184019672722106,"Cell-type-specific",0.0184019672722106,1.73513574602334,2.38205435989955
"TAP1",1,1,-0.670798861919754,-0.670798861919754,0.670798861919754,0.670798861919754,0.000283845130598907,0.000283845130598907,"Cell-type-specific",0.000283845130598907,3.54691855175445,2.37926892783895
"SNHG9",1,1,0.74167088620251,0.74167088620251,0.74167088620251,0.74167088620251,0.000688867367540728,0.000688867367540728,"Cell-type-specific",0.000688867367540728,3.16186438780216,2.34506276255338
"AIF1",1,1,-0.816666030685721,-0.816666030685721,0.816666030685721,0.816666030685721,0.00140531488370671,0.00140531488370671,"Cell-type-specific",0.00140531488370671,2.85222635409745,2.32931637521797
"CD27",1,1,-0.862441922479064,-0.862441922479064,0.862441922479064,0.862441922479064,0.0021079128113151,0.0021079128113151,"Cell-type-specific",0.0021079128113151,2.6761473566226,2.30802167108286
"NUB1",1,1,1.56322958882429,1.56322958882429,1.56322958882429,1.56322958882429,0.0338207289401082,0.0338207289401082,"Cell-type-specific",0.0338207289401082,1.47081703626356,2.29922471083404
"PUS3",1,1,-1.35188307124409,-1.35188307124409,1.35188307124409,1.35188307124409,0.0201099566563838,0.0201099566563838,"Cell-type-specific",0.0201099566563838,1.69658886545068,2.29358976606399
"PCNX1",1,1,-0.759914976308991,-0.759914976308991,0.759914976308991,0.759914976308991,0.000969797489632034,0.000969797489632034,"Cell-type-specific",0.000969797489632034,3.01331894441143,2.28986619425384
"NEDD9",1,1,-0.977631600662605,-0.977631600662605,0.977631600662605,0.977631600662605,0.00460665827583212,0.00460665827583212,"Cell-type-specific",0.00460665827583212,2.33661400272992,2.28434768761951
"TMEM40",1,1,1.18817094138888,1.18817094138888,1.18817094138888,1.18817094138888,0.0121171873285587,0.0121171873285587,"Cell-type-specific",0.0121171873285587,1.91659817797892,2.27724626139343
"NAP1L1",1,1,0.707292643918739,0.707292643918739,0.707292643918739,0.707292643918739,0.000613149905288075,0.000613149905288075,"Cell-type-specific",0.000613149905288075,3.21243333448575,2.27213046656112
"IFNGR2",1,1,-0.719317519318241,-0.719317519318241,0.719317519318241,0.719317519318241,0.000710914512563964,0.000710914512563964,"Cell-type-specific",0.000710914512563964,3.14818262002114,2.26454291259441
"RHOU",1,1,0.889691298456283,0.889691298456283,0.889691298456283,0.889691298456283,0.00291082474359176,0.00291082474359176,"Cell-type-specific",0.00291082474359176,2.53598394199585,2.25624284621857
"LAT2",1,1,-0.61308774153367,-0.61308774153367,0.61308774153367,0.61308774153367,0.000218093548784469,0.000218093548784469,"Cell-type-specific",0.000218093548784469,3.66135718067872,2.2447332048504
"TRIP11",1,1,-0.732516130725861,-0.732516130725861,0.732516130725861,0.732516130725861,0.000889798342918805,0.000889798342918805,"Cell-type-specific",0.000889798342918805,3.05070840737859,2.23469311854582
"PRPF38B",1,1,0.692295281513768,0.692295281513768,0.692295281513768,0.692295281513768,0.000605218152129068,0.000605218152129068,"Cell-type-specific",0.000605218152129068,3.21808805478754,2.22786717582523
"SH3GLB2",1,1,-0.9196345834705,-0.9196345834705,0.9196345834705,0.9196345834705,0.00384239401532484,0.00384239401532484,"Cell-type-specific",0.00384239401532484,2.41539810279878,2.22128362818279
"DHRS4",1,1,-0.752100722263443,-0.752100722263443,0.752100722263443,0.752100722263443,0.00130464564601487,0.00130464564601487,"Cell-type-specific",0.00130464564601487,2.88450743076096,2.16944012204959
"TAGLN2",1,1,-0.701733248592489,-0.701733248592489,0.701733248592489,0.701733248592489,0.000869462921899528,0.000869462921899528,"Cell-type-specific",0.000869462921899528,3.06074893368172,2.14782929235847
"CLEC5A",1,1,-1.57704525916933,-1.57704525916933,1.57704525916933,1.57704525916933,0.0449712015629835,0.0449712015629835,"Cell-type-specific",0.0449712015629835,1.34706550858056,2.12438327409749
"ITGB3",1,1,1.39066298450494,1.39066298450494,1.39066298450494,1.39066298450494,0.0297891353660614,0.0297891353660614,"Cell-type-specific",0.0297891353660614,1.52594210206182,2.12207119783504
"LINC00877",1,1,0.982882495189104,0.982882495189104,0.982882495189104,0.982882495189104,0.00696894755461758,0.00696894755461758,"Cell-type-specific",0.00696894755461758,2.1568328037863,2.11991320789119
"DCTN6",1,1,-1.15089596279484,-1.15089596279484,1.15089596279484,1.15089596279484,0.0145992980449646,0.0145992980449646,"Cell-type-specific",0.0145992980449646,1.83566802521058,2.11266291924643
