"Gene","Mean_Log2FC","Mean_Abs_Log2FC","Median_Log2FC","Mean_Adjusted_P","CellType_Frequency","Comparison_Frequency","Category","Signature_Score"
"MT-CO1",-0.30405011092019,0.30405011092019,-0.301532579347436,0.00000000000000319843379932363,3,1,NA,13.2216762048167
"FTH1",0.0136607226059639,0.367137654620743,0.288450138074511,0.0040418069481243,4,3,NA,3.51486493263801
