"Sample","Condition","Cell_Type","n"
"H6","Healthy","Progenitors",4
"H6","Healthy","T cells",799
"H7","Healthy","B cells",600
"H7","Healthy","Basophils",14
"H7","Healthy","CD4+ T cells",3817
"H7","Healthy","CD8+ T cells",805
"H7","Healthy","Dendritic cells",105
"H7","Healthy","Monocytes",1240
"H7","Healthy","NK cells",2753
"H7","Healthy","Neutrophils",12
"H7","Healthy","Progenitors",7
"H7","Healthy","T cells",1521
"H8","Healthy","B cells",1422
"H8","Healthy","Basophils",23
"H8","Healthy","CD4+ T cells",2316
"H8","Healthy","CD8+ T cells",715
"H8","Healthy","Dendritic cells",81
"H8","Healthy","Monocytes",1289
"H8","Healthy","NK cells",1802
"H8","Healthy","Neutrophils",51
"H8","Healthy","Progenitors",11
"H8","Healthy","T cells",2538
"H9","Healthy","B cells",2465
"H9","Healthy","Basophils",92
"H9","Healthy","CD4+ T cells",6312
"H9","Healthy","CD8+ T cells",354
"H9","Healthy","Dendritic cells",241
"H9","Healthy","Monocytes",2460
"H9","Healthy","NK cells",3644
"H9","Healthy","Neutrophils",58
"H9","Healthy","Progenitors",12
"H9","Healthy","T cells",878
"N10a","SNMG_Pre","B cells",591
"N10a","SNMG_Pre","Basophils",45
"N10a","SNMG_Pre","CD4+ T cells",2189
"N10a","SNMG_Pre","CD8+ T cells",317
"N10a","SNMG_Pre","Dendritic cells",63
"N10a","SNMG_Pre","Monocytes",2904
"N10a","SNMG_Pre","NK cells",2719
"N10a","SNMG_Pre","Neutrophils",37
"N10a","SNMG_Pre","Progenitors",33
"N10a","SNMG_Pre","T cells",1170
"N10b","SNMG_Post","B cells",539
"N10b","SNMG_Post","Basophils",110
"N10b","SNMG_Post","CD4+ T cells",2332
"N10b","SNMG_Post","CD8+ T cells",339
"N10b","SNMG_Post","Dendritic cells",88
"N10b","SNMG_Post","Monocytes",3198
"N10b","SNMG_Post","NK cells",1932
"N10b","SNMG_Post","Neutrophils",478
"N10b","SNMG_Post","Progenitors",35
"N10b","SNMG_Post","T cells",1268
"N1a","SNMG_Pre","B cells",924
"N1a","SNMG_Pre","Basophils",15
"N1a","SNMG_Pre","CD4+ T cells",2217
"N1a","SNMG_Pre","CD8+ T cells",53
"N1a","SNMG_Pre","Dendritic cells",72
"N1a","SNMG_Pre","Monocytes",1909
"N1a","SNMG_Pre","NK cells",2150
"N1a","SNMG_Pre","Progenitors",14
"N1a","SNMG_Pre","T cells",1614
"N1b","SNMG_Post","B cells",1292
"N1b","SNMG_Post","Basophils",5
"N1b","SNMG_Post","CD4+ T cells",2929
"N1b","SNMG_Post","CD8+ T cells",112
"N1b","SNMG_Post","Dendritic cells",94
"N1b","SNMG_Post","Monocytes",1804
"N1b","SNMG_Post","NK cells",2203
"N1b","SNMG_Post","Progenitors",19
"N1b","SNMG_Post","T cells",1925
"N2a","SNMG_Pre","B cells",354
"N2a","SNMG_Pre","Basophils",50
"N2a","SNMG_Pre","CD4+ T cells",3758
"N2a","SNMG_Pre","CD8+ T cells",716
"N2a","SNMG_Pre","Dendritic cells",63
"N2a","SNMG_Pre","Monocytes",1872
"N2a","SNMG_Pre","NK cells",999
"N2a","SNMG_Pre","Neutrophils",21
"N2a","SNMG_Pre","Progenitors",4
"N2a","SNMG_Pre","T cells",696
"N2b","SNMG_Post","B cells",415
"N2b","SNMG_Post","Basophils",81
"N2b","SNMG_Post","CD4+ T cells",4864
"N2b","SNMG_Post","CD8+ T cells",699
"N2b","SNMG_Post","Dendritic cells",77
"N2b","SNMG_Post","Monocytes",2322
"N2b","SNMG_Post","NK cells",727
"N2b","SNMG_Post","Neutrophils",14
"N2b","SNMG_Post","Progenitors",6
"N2b","SNMG_Post","T cells",995
"N3a","SNMG_Pre","B cells",787
"N3a","SNMG_Pre","Basophils",8
"N3a","SNMG_Pre","CD4+ T cells",3657
"N3a","SNMG_Pre","CD8+ T cells",6
"N3a","SNMG_Pre","Dendritic cells",113
"N3a","SNMG_Pre","Monocytes",3208
"N3a","SNMG_Pre","NK cells",2352
"N3a","SNMG_Pre","Progenitors",11
"N3a","SNMG_Pre","T cells",13
"N3b","SNMG_Post","B cells",895
"N3b","SNMG_Post","Basophils",4
"N3b","SNMG_Post","CD4+ T cells",4333
"N3b","SNMG_Post","CD8+ T cells",128
"N3b","SNMG_Post","Dendritic cells",147
"N3b","SNMG_Post","Monocytes",3067
"N3b","SNMG_Post","NK cells",3362
"N3b","SNMG_Post","Progenitors",20
"N3b","SNMG_Post","T cells",381
"N4a","SNMG_Pre","B cells",1774
"N4a","SNMG_Pre","Basophils",4
"N4a","SNMG_Pre","CD4+ T cells",2648
"N4a","SNMG_Pre","CD8+ T cells",7
"N4a","SNMG_Pre","Dendritic cells",48
"N4a","SNMG_Pre","Monocytes",1693
"N4a","SNMG_Pre","NK cells",3960
"N4a","SNMG_Pre","Progenitors",14
"N4a","SNMG_Pre","T cells",139
"N4b","SNMG_Post","B cells",840
"N4b","SNMG_Post","Basophils",27
"N4b","SNMG_Post","CD4+ T cells",1163
"N4b","SNMG_Post","CD8+ T cells",399
"N4b","SNMG_Post","Dendritic cells",16
"N4b","SNMG_Post","Monocytes",1395
"N4b","SNMG_Post","NK cells",3951
"N4b","SNMG_Post","Neutrophils",45
"N4b","SNMG_Post","Progenitors",8
"N4b","SNMG_Post","T cells",1363
"N5a","SNMG_Pre","B cells",2183
"N5a","SNMG_Pre","Basophils",63
"N5a","SNMG_Pre","CD4+ T cells",5081
"N5a","SNMG_Pre","CD8+ T cells",677
"N5a","SNMG_Pre","Dendritic cells",91
"N5a","SNMG_Pre","Monocytes",1357
"N5a","SNMG_Pre","NK cells",819
"N5a","SNMG_Pre","Progenitors",9
"N5a","SNMG_Pre","T cells",1844
"N5b","SNMG_Post","B cells",1876
"N5b","SNMG_Post","Basophils",47
"N5b","SNMG_Post","CD4+ T cells",4178
"N5b","SNMG_Post","CD8+ T cells",574
"N5b","SNMG_Post","Dendritic cells",89
"N5b","SNMG_Post","Monocytes",1134
"N5b","SNMG_Post","NK cells",647
"N5b","SNMG_Post","Neutrophils",2
"N5b","SNMG_Post","Progenitors",3
"N5b","SNMG_Post","T cells",1640
"N6a","SNMG_Pre","B cells",763
"N6a","SNMG_Pre","Basophils",40
"N6a","SNMG_Pre","CD4+ T cells",2768
"N6a","SNMG_Pre","CD8+ T cells",533
"N6a","SNMG_Pre","Dendritic cells",77
"N6a","SNMG_Pre","Monocytes",2045
"N6a","SNMG_Pre","NK cells",2296
"N6a","SNMG_Pre","Neutrophils",61
"N6a","SNMG_Pre","Progenitors",8
"N6a","SNMG_Pre","T cells",1732
"N6b","SNMG_Post","B cells",625
"N6b","SNMG_Post","Basophils",32
"N6b","SNMG_Post","CD4+ T cells",3025
"N6b","SNMG_Post","CD8+ T cells",589
"N6b","SNMG_Post","Dendritic cells",79
"N6b","SNMG_Post","Monocytes",2508
"N6b","SNMG_Post","NK cells",1774
"N6b","SNMG_Post","Neutrophils",141
"N6b","SNMG_Post","Progenitors",1
"N6b","SNMG_Post","T cells",2162
"N7a","SNMG_Pre","B cells",649
"N7a","SNMG_Pre","Basophils",15
"N7a","SNMG_Pre","CD4+ T cells",2396
"N7a","SNMG_Pre","CD8+ T cells",1052
"N7a","SNMG_Pre","Dendritic cells",53
"N7a","SNMG_Pre","Monocytes",2764
"N7a","SNMG_Pre","NK cells",2935
"N7a","SNMG_Pre","Neutrophils",2
"N7a","SNMG_Pre","Progenitors",11
"N7a","SNMG_Pre","T cells",1702
"N7b","SNMG_Post","B cells",651
"N7b","SNMG_Post","Basophils",14
"N7b","SNMG_Post","CD4+ T cells",2016
"N7b","SNMG_Post","CD8+ T cells",959
"N7b","SNMG_Post","Dendritic cells",55
"N7b","SNMG_Post","Monocytes",4048
"N7b","SNMG_Post","NK cells",2668
"N7b","SNMG_Post","Neutrophils",13
"N7b","SNMG_Post","Progenitors",11
"N7b","SNMG_Post","T cells",1446
"N8a","SNMG_Pre","B cells",471
"N8a","SNMG_Pre","Basophils",88
"N8a","SNMG_Pre","CD4+ T cells",2951
"N8a","SNMG_Pre","CD8+ T cells",685
"N8a","SNMG_Pre","Dendritic cells",113
"N8a","SNMG_Pre","Monocytes",3275
"N8a","SNMG_Pre","NK cells",2074
"N8a","SNMG_Pre","Neutrophils",359
"N8a","SNMG_Pre","Progenitors",12
"N8a","SNMG_Pre","T cells",1618
"N8b","SNMG_Post","B cells",859
"N8b","SNMG_Post","Basophils",73
"N8b","SNMG_Post","CD4+ T cells",5197
"N8b","SNMG_Post","CD8+ T cells",1285
"N8b","SNMG_Post","Dendritic cells",143
"N8b","SNMG_Post","Monocytes",4419
"N8b","SNMG_Post","NK cells",1195
"N8b","SNMG_Post","Neutrophils",162
"N8b","SNMG_Post","Progenitors",16
"N8b","SNMG_Post","T cells",1850
"N9a","SNMG_Pre","B cells",310
"N9a","SNMG_Pre","Basophils",63
"N9a","SNMG_Pre","CD4+ T cells",1179
"N9a","SNMG_Pre","CD8+ T cells",183
"N9a","SNMG_Pre","Dendritic cells",64
"N9a","SNMG_Pre","Monocytes",3571
"N9a","SNMG_Pre","NK cells",3821
"N9a","SNMG_Pre","Neutrophils",127
"N9a","SNMG_Pre","Progenitors",16
"N9a","SNMG_Pre","T cells",2352
"N9b","SNMG_Post","B cells",433
"N9b","SNMG_Post","Basophils",77
"N9b","SNMG_Post","CD4+ T cells",889
"N9b","SNMG_Post","CD8+ T cells",139
"N9b","SNMG_Post","Dendritic cells",48
"N9b","SNMG_Post","Monocytes",2754
"N9b","SNMG_Post","NK cells",2655
"N9b","SNMG_Post","Neutrophils",1281
"N9b","SNMG_Post","Progenitors",15
"N9b","SNMG_Post","T cells",2746
