"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"TMEM176B",0.00000000109051578215642,-1.56827433186743,0.053,0.141,0.0000399139681427072,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"PUS3",0.000000549437355711151,-1.35188307124409,0.048,0.115,0.0201099566563838,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"AC004556.3",0.000000262969973348754,-1.33546441397416,0.054,0.125,0.00962496399453775,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"PDK4",0.00000134075064229595,-1.05817369844373,0.042,0.104,0.049072814258674,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CCR2",0.000000000000000515494267956029,-0.982396722843865,0.229,0.414,0.0000000000188676057014586,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"RGS14",0.00000000000270423800267577,-0.934455197486572,0.181,0.329,0.0000000989778151359358,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"ABI3",0.0000000000000235231105528533,-0.909960697039332,0.274,0.433,0.000000000860969369344982,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"GPN3",0.00000000019377321582409,-0.845846204169039,0.188,0.324,0.00000709229347237753,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CLECL1",0.00000000209508671147573,-0.817974711150143,0.186,0.315,0.0000766822687267232,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CX3CR1",0.000000218070049913801,-0.805225866612857,0.169,0.271,0.00798158189689503,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"NIT1",0.000000526800279229921,-0.804873390410555,0.155,0.252,0.0192814170200943,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CES1",0.0000000184488975761703,-0.803796895368095,0.139,0.25,0.000675248100185409,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"P2RY13",0.0000000109540135732514,-0.780231479330737,0.187,0.305,0.000400927850794575,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"DHRS4",0.0000000356450819927016,-0.752100722263443,0.188,0.305,0.00130464564601487,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"TMEM223",0.0000000626826209743605,-0.751381911443873,0.169,0.277,0.00229424661028257,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"TMEM176B",0.00000000000000000000000391142046473846,-1.21022388330873,0.236,0.513,0.000000000000000000143161900429892,"Monocytes","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.00000000129214404210531,-1.16383582614267,0.159,0.309,0.0000472937640850964,"Monocytes","Healthy_vs_AChR_MG","Downregulated"
"TMEM176A",0.0000000000843530250615568,-0.978148077440714,0.187,0.347,0.00000308740507027804,"Monocytes","Healthy_vs_AChR_MG","Downregulated"
"HSPA1A",0.000000324523604286263,-0.85614013136778,0.156,0.273,0.0118778884404815,"Monocytes","Healthy_vs_AChR_MG","Downregulated"
"TNFSF10",0.000000136802789752816,-0.793757950411891,0.359,0.477,0.00500711890774282,"Monocytes","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.0000000307523244112707,-2.462117920412,0.039,0.136,0.00112556582577692,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"DUSP6",0.000000000319112461818062,-1.47495702385464,0.144,0.295,0.0000116798352150029,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"PF4",0.00000000816305490355915,-1.35665132540482,0.182,0.324,0.000298775972525168,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"AIF1",0.0000000383955324637772,-0.816666030685721,0.342,0.478,0.00140531488370671,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"MIDN",0.000000235770679455663,-0.749090781221603,0.417,0.534,0.00862944263875673,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"ZFP36L1",0.00000000339445466535456,-0.74623469493275,0.581,0.674,0.000124240435206642,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"SOD2",0.00000000000000000116733436469735,-0.734657624233019,0.777,0.89,0.0000000000000427256050822879,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"G0S2",0.000000000000197739816469237,-0.731712117056489,0.622,0.775,0.00000000723747502259054,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"TAGLN2",0.0000000237551684899191,-0.701733248592489,0.494,0.621,0.000869462921899528,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"IRF1",0.000000116552113545625,-0.572008992363949,0.492,0.611,0.00426592390788343,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"PTGS2",0.00000000772116082339394,-0.568436610485158,0.638,0.749,0.000282602207297042,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"NIBAN1",0.00000108274219630912,-0.526098508032694,0.533,0.644,0.0396294471271101,"Neutrophils","Healthy_vs_AChR_MG","Downregulated"
"KLRC2",0.000000000000122296564791212,-1.79886768581299,0.17,0.331,0.00000000447617656792315,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"TIGIT",0.00000000000252141752360784,-1.34513433092557,0.149,0.309,0.0000000922864027815706,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.000000000131922957231334,-1.19553839742706,0.057,0.177,0.00000482851215762406,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"ZFPM1",0.000000023666322685102,-1.19551260635418,0.111,0.226,0.000866211076597417,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"MRPS6",0.000000000030052395879698,-0.885844152964507,0.262,0.434,0.00000109994774159283,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"HLA-DRB5",0.000000262656448700235,-0.835518871821763,0.175,0.295,0.00961348867887729,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"PLEK",0.00000000000000000074650601934968,-0.756462484274038,0.565,0.781,0.0000000000000273228668142176,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP1",0.000000203021388103732,-0.700000882047064,0.192,0.313,0.0074307858259847,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"GBP2",0.00000023021853722377,-0.676345939597145,0.274,0.4,0.00842622868092719,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"TAP1",0.00000000775511954861634,-0.670798861919754,0.216,0.368,0.000283845130598907,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"KLRG1",0.000000792834520922852,-0.665553729419117,0.202,0.332,0.0290185363002973,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"LBR",0.00000000422019942789533,-0.660440705200495,0.272,0.439,0.000154463519260397,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP4",0.000000000000229102614125021,-0.64016939194737,0.455,0.654,0.0000000083853847795899,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"PPP4C",0.000000501801648644287,-0.639883313643857,0.238,0.368,0.0183664421420296,"NK cells","Healthy_vs_AChR_MG","Downregulated"
